ticker,vol_30d,ret_1m,ret_3m,fwd_6m,label,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,pipeline_density,late_stage_ratio,risk_score
KURA,0.035422783236521406,0.001981684070655021,-0.1508619008269252,0.8110918273499086,1,6,2,1,0,9,9,0.1,0.1,3.0
KYMR,0.08707894972620529,0.45176146454934873,0.5384629590398098,0.8412007240582227,1,1,2,0,0,3,3,0.0,0.0,1.0
KYTX,0.07441788498659771,0.19382166628237285,0.5612362350706455,2.09120520439035,1,0,0,0,0,0,0,0.0,0.0,0.0
LAB,0.056576679094227526,0.15541342609935216,0.1436093703889746,0.06666660043928618,0,0,0,0,0,0,0,0.0,0.0,0.0
LCTX,0.06791095418286862,0.3132759493997618,0.7439914671609847,0.7912087343464944,1,1,0,0,0,3,3,0.0,0.0,1.0
LEGN,0.0372202698149769,0.21944056324250416,0.05501049730977581,-0.3823612555759983,0,0,0,0,0,0,0,0.0,0.0,0.0
LENZ,0.03349369721632539,0.005166387485560975,0.2152276966941804,-0.43636981375726147,0,0,0,0,0,0,0,0.0,0.0,0.0
LLY,0.016944842783859923,0.07872251584646694,-0.018076048992771376,0.38889714463674707,1,75,119,105,15,342,342,0.30612244897959184,0.3498542274052478,0.6198347107438017
LRMR,0.07224810436245792,0.2817777185193814,0.38181799513877046,0.370242177994065,1,1,0,0,0,1,1,0.0,0.0,1.0
LXEO,0.07573652224740524,0.38394019425754333,0.3174599483980546,1.554726494152043,1,0,0,0,0,0,0,0.0,0.0,0.0
LYEL,0.1407597973629514,0.31274774528107485,0.055758265534264884,3.0780541419455734,1,0,1,1,0,2,2,0.3333333333333333,0.3333333333333333,0.0
MAZE,0.07342308252489853,0.0773497078002241,0.24545394289914668,2.3048082904840563,1,0,0,0,0,0,0,0.0,0.0,0.0
MBX,0.05209858155239047,-0.07589349754311447,0.4872423422073324,1.7230499658482619,1,0,0,0,0,0,0,0.0,0.0,0.0
